CustomerID,TotalSpend,OrderCount,LastPurchase,FirstPurchase,DaysSinceLastPurchase,Churned
C19071,1352.94,1,2025-02-24,2025-02-24,127,True
C19368,646.44,1,2025-04-18,2025-04-18,74,False
C19439,440.34,1,2025-06-05,2025-06-05,26,False
C20256,1616.22,1,2024-12-11,2024-12-11,202,True
C20257,1343.9,1,2023-12-29,2023-12-29,550,True
C20338,370.85,1,2024-12-24,2024-12-24,189,True
C20448,296.44,1,2023-08-15,2023-08-15,686,True
C20512,2763.12,1,2023-07-19,2023-07-19,713,True
C20643,2011.96,1,2024-02-16,2024-02-16,501,True
C20977,1740.48,1,2023-06-11,2023-06-11,751,True
C21167,2235.6,1,2023-02-11,2023-02-11,871,True
C21191,321.96,1,2024-04-11,2024-04-11,446,True
C21944,297.75,1,2024-03-06,2024-03-06,482,True
C23917,127.55,1,2023-04-27,2023-04-27,796,True
C23947,120.98,1,2023-05-18,2023-05-18,775,True
C24212,322.08,1,2023-10-08,2023-10-08,632,True
C24301,1284.08,1,2024-10-26,2024-10-26,248,True
C24751,2506.3,1,2023-12-07,2023-12-07,572,True
C24769,57.1,1,2023-11-05,2023-11-05,604,True
C24901,299.7,1,2023-05-05,2023-05-05,788,True
C25149,1054.48,1,2023-09-29,2023-09-29,641,True
C25162,688.36,1,2023-11-09,2023-11-09,600,True
C25276,3313.9,1,2023-05-26,2023-05-26,767,True
C25316,79.06,1,2024-06-27,2024-06-27,369,True
C25445,658.5,1,2025-01-29,2025-01-29,153,True
C25534,984.2,1,2023-01-23,2023-01-23,890,True
C25783,1253.4,1,2025-03-22,2025-03-22,101,True
C25841,904.6500000000001,1,2024-05-29,2024-05-29,398,True
C25918,666.9499999999999,1,2023-08-03,2023-08-03,698,True
C25967,1709.8,1,2024-01-16,2024-01-16,532,True
C26118,144.78,1,2023-03-26,2023-03-26,828,True
C26188,618.68,1,2023-04-20,2023-04-20,803,True
C26210,1334.25,1,2023-11-27,2023-11-27,582,True
C26340,369.2,1,2024-03-13,2024-03-13,475,True
C26718,1052.36,1,2025-01-30,2025-01-30,152,True
C26767,303.6,1,2023-08-10,2023-08-10,691,True
C27070,2612.52,1,2024-10-07,2024-10-07,267,True
C27072,463.11,1,2025-06-15,2025-06-15,16,False
C27401,1619.73,1,2024-11-24,2024-11-24,219,True
C27430,474.25,1,2025-02-04,2025-02-04,147,True
C27435,2104.9,1,2024-05-27,2024-05-27,400,True
C27613,2462.6,1,2024-06-27,2024-06-27,369,True
C27898,2513.55,1,2023-10-09,2023-10-09,631,True
C28049,1293.38,1,2023-05-21,2023-05-21,772,True
C28152,1714.59,1,2025-05-12,2025-05-12,50,False
C28406,23.53,1,2025-05-17,2025-05-17,45,False
C28552,29.86,1,2025-02-25,2025-02-25,126,True
C28648,1895.44,1,2024-04-28,2024-04-28,429,True
C28889,258.87,1,2025-03-04,2025-03-04,119,True
C29063,478.75,1,2024-09-29,2024-09-29,275,True
C29072,687.98,1,2023-03-10,2023-03-10,844,True
C29314,788.6,1,2023-06-08,2023-06-08,754,True
C29405,448.74,1,2025-03-11,2025-03-11,112,True
C29483,1222.88,1,2024-08-21,2024-08-21,314,True
C29568,194.44,1,2024-06-10,2024-06-10,386,True
C29697,401.82,1,2024-06-08,2024-06-08,388,True
C29703,2790.0,1,2023-12-17,2023-12-17,562,True
C29905,1067.9,1,2024-03-17,2024-03-17,471,True
C29914,133.39,1,2024-08-03,2024-08-03,332,True
C29931,612.36,1,2023-10-04,2023-10-04,636,True
C30010,382.23,1,2025-04-25,2025-04-25,67,False
C31371,507.36,1,2023-12-08,2023-12-08,571,True
C31501,1764.15,1,2025-06-27,2025-06-27,4,False
C31772,693.41,1,2023-07-11,2023-07-11,721,True
C31946,2037.52,1,2023-11-21,2023-11-21,588,True
C32029,701.44,1,2024-08-06,2024-08-06,329,True
C32580,1874.95,1,2023-11-27,2023-11-27,582,True
C32687,852.44,1,2024-12-16,2024-12-16,197,True
C33051,883.08,1,2024-04-23,2024-04-23,434,True
C33099,241.9,1,2024-12-28,2024-12-28,185,True
C33110,1584.42,1,2025-05-31,2025-05-31,31,False
C33260,1270.59,1,2024-09-20,2024-09-20,284,True
C33802,604.87,1,2024-07-28,2024-07-28,338,True
C34134,254.12,1,2025-04-06,2025-04-06,86,False
C34337,950.5500000000001,1,2024-07-22,2024-07-22,344,True
C35043,132.15,1,2025-03-05,2025-03-05,118,True
C35123,1546.92,1,2024-06-13,2024-06-13,383,True
C35566,258.76,1,2023-02-14,2023-02-14,868,True
C35785,427.82,1,2024-04-07,2024-04-07,450,True
C36014,869.94,1,2023-06-11,2023-06-11,751,True
C36137,717.24,1,2024-11-24,2024-11-24,219,True
C36174,926.94,1,2024-05-31,2024-05-31,396,True
C36540,728.32,1,2023-09-18,2023-09-18,652,True
C37032,847.76,1,2023-08-11,2023-08-11,690,True
C37235,151.04,1,2023-06-02,2023-06-02,760,True
C37249,491.72,1,2023-10-23,2023-10-23,617,True
C37375,1036.46,1,2024-01-18,2024-01-18,530,True
C37412,432.47,1,2023-07-18,2023-07-18,714,True
C37455,2380.05,1,2023-10-22,2023-10-22,618,True
C37531,1349.3,1,2024-03-09,2024-03-09,479,True
C37969,362.46,1,2023-12-02,2023-12-02,577,True
C38024,546.86,1,2024-05-07,2024-05-07,420,True
C38262,155.27,1,2024-01-30,2024-01-30,518,True
C38642,1046.0,1,2023-08-21,2023-08-21,680,True
C38966,2021.95,1,2024-08-31,2024-08-31,304,True
C39074,3032.6,1,2023-10-25,2023-10-25,615,True
C39246,931.4,1,2024-04-18,2024-04-18,439,True
C39416,473.96,1,2023-07-17,2023-07-17,715,True
C39550,558.27,1,2025-05-14,2025-05-14,48,False
C39551,76.93,1,2023-02-05,2023-02-05,877,True
C39593,2078.13,1,2023-11-24,2023-11-24,585,True
C39638,2161.32,1,2025-02-28,2025-02-28,123,True
C39639,65.95,1,2025-01-15,2025-01-15,167,True
C39648,465.33,1,2023-11-30,2023-11-30,579,True
C39671,217.56,1,2023-12-27,2023-12-27,552,True
C39911,2073.6,1,2023-08-28,2023-08-28,673,True
C40304,479.36,1,2025-06-01,2025-06-01,30,False
C40427,613.98,1,2023-08-20,2023-08-20,681,True
C40466,541.64,1,2024-09-04,2024-09-04,300,True
C40771,697.96,1,2024-12-14,2024-12-14,199,True
C40863,489.39,1,2024-11-24,2024-11-24,219,True
C40882,868.52,1,2025-01-24,2025-01-24,158,True
C40949,1105.26,1,2024-08-31,2024-08-31,304,True
C41331,1203.05,1,2023-05-25,2023-05-25,768,True
C41460,747.75,1,2023-05-12,2023-05-12,781,True
C41478,2138.28,1,2023-08-13,2023-08-13,688,True
C41508,429.96,1,2024-06-25,2024-06-25,371,True
C42108,641.36,1,2024-06-19,2024-06-19,377,True
C42577,399.98,1,2024-07-24,2024-07-24,342,True
C42949,660.66,1,2023-11-29,2023-11-29,580,True
C43124,2773.44,1,2023-05-04,2023-05-04,789,True
C43335,548.24,1,2025-06-28,2025-06-28,3,False
C43338,1435.95,1,2023-05-11,2023-05-11,782,True
C43524,2621.3,1,2024-01-10,2024-01-10,538,True
C43595,2807.4,1,2025-05-13,2025-05-13,49,False
C43721,131.61,1,2023-02-06,2023-02-06,876,True
C43842,1303.14,1,2024-10-19,2024-10-19,255,True
C43965,359.92,1,2025-01-11,2025-01-11,171,True
C44176,77.64,1,2025-02-28,2025-02-28,123,True
C44366,776.44,1,2023-01-04,2023-01-04,909,True
C44619,475.11,1,2025-03-05,2025-03-05,118,True
C44674,627.34,1,2024-11-11,2024-11-11,232,True
C44733,87.06,1,2025-03-01,2025-03-01,122,True
C45187,420.65,1,2023-06-28,2023-06-28,734,True
C45482,198.2,1,2023-03-09,2023-03-09,845,True
C45671,1314.96,1,2024-03-01,2024-03-01,487,True
C46015,1812.3,1,2024-11-18,2024-11-18,225,True
C46210,1286.64,1,2024-09-24,2024-09-24,280,True
C46504,745.84,1,2023-02-21,2023-02-21,861,True
C46557,237.18,1,2024-03-18,2024-03-18,470,True
C46651,1214.37,1,2023-08-01,2023-08-01,700,True
C46877,210.7,1,2025-02-02,2025-02-02,149,True
C46886,1849.17,1,2025-06-08,2025-06-08,23,False
C46920,1362.12,1,2024-01-21,2024-01-21,527,True
C47284,893.01,1,2024-09-21,2024-09-21,283,True
C47365,82.0,1,2025-05-03,2025-05-03,59,False
C47778,3334.0,1,2023-10-30,2023-10-30,610,True
C47823,956.72,1,2024-12-03,2024-12-03,210,True
C48176,1736.92,1,2024-11-18,2024-11-18,225,True
C48510,1042.8,1,2025-04-16,2025-04-16,76,False
C48646,1159.1,1,2024-06-14,2024-06-14,382,True
C48946,309.85,1,2025-05-02,2025-05-02,60,False
C49605,457.82,1,2024-05-10,2024-05-10,417,True
C49831,1474.29,1,2023-11-30,2023-11-30,579,True
C50087,366.33,1,2023-10-16,2023-10-16,624,True
C50211,53.0,1,2024-04-22,2024-04-22,435,True
C50275,269.65,1,2024-09-04,2024-09-04,300,True
C50304,930.3,1,2024-12-07,2024-12-07,206,True
C50415,2830.35,1,2024-10-10,2024-10-10,264,True
C50612,226.64,1,2024-01-12,2024-01-12,536,True
C50682,501.96,1,2024-11-26,2024-11-26,217,True
C51024,489.8,1,2023-08-02,2023-08-02,699,True
C51145,2403.24,1,2024-04-16,2024-04-16,441,True
C51157,1778.61,1,2023-09-17,2023-09-17,653,True
C51404,378.12,1,2024-01-18,2024-01-18,530,True
C51694,1361.7,1,2024-08-25,2024-08-25,310,True
C52604,506.5,1,2024-11-23,2024-11-23,220,True
C52751,1055.72,1,2023-10-27,2023-10-27,613,True
C52914,839.96,1,2023-03-19,2023-03-19,835,True
C53070,2048.24,1,2024-04-11,2024-04-11,446,True
C53252,570.32,1,2024-05-26,2024-05-26,401,True
C53277,1595.16,1,2025-02-18,2025-02-18,133,True
C53464,3299.25,1,2024-06-29,2024-06-29,367,True
C53488,410.52,1,2024-05-12,2024-05-12,415,True
C53501,249.57,1,2024-06-08,2024-06-08,388,True
C53545,1084.17,1,2023-06-29,2023-06-29,733,True
C53627,1527.45,1,2023-11-08,2023-11-08,601,True
C54277,519.16,1,2025-03-12,2025-03-12,111,True
C54494,352.92,1,2023-09-02,2023-09-02,668,True
C54499,668.48,1,2023-12-03,2023-12-03,576,True
C54595,121.96,1,2025-03-18,2025-03-18,105,True
C54675,1291.7,1,2023-01-01,2023-01-01,912,True
C55354,684.22,1,2024-08-30,2024-08-30,305,True
C55388,1213.86,1,2023-03-27,2023-03-27,827,True
C55454,677.48,1,2023-05-01,2023-05-01,792,True
C55464,601.36,1,2024-11-11,2024-11-11,232,True
C55590,625.51,1,2024-12-19,2024-12-19,194,True
C55606,1102.0,1,2025-05-03,2025-05-03,59,False
C55996,2543.45,1,2023-07-14,2023-07-14,718,True
C56506,773.52,1,2024-03-10,2024-03-10,478,True
C56553,212.43,1,2024-07-15,2024-07-15,351,True
C56564,507.48,1,2025-03-05,2025-03-05,118,True
C56622,1095.34,1,2025-04-08,2025-04-08,84,False
C56851,958.15,1,2023-10-31,2023-10-31,609,True
C56928,1435.0,1,2024-01-09,2024-01-09,539,True
C56938,1117.8,1,2025-06-13,2025-06-13,18,False
C57276,3456.4,1,2023-08-17,2023-08-17,684,True
C57601,294.6,1,2024-09-09,2024-09-09,295,True
C58721,617.58,1,2025-03-03,2025-03-03,120,True
C58808,539.66,1,2024-11-08,2024-11-08,235,True
C59169,2517.36,1,2023-07-10,2023-07-10,722,True
C59338,2070.9,1,2024-02-25,2024-02-25,492,True
C59572,542.07,1,2023-03-28,2023-03-28,826,True
C59685,788.32,1,2023-01-26,2023-01-26,887,True
C59724,819.5,1,2024-12-09,2024-12-09,204,True
C60203,583.7,1,2024-05-27,2024-05-27,400,True
C60575,1959.3,1,2024-07-18,2024-07-18,348,True
C60672,423.4,1,2024-03-02,2024-03-02,486,True
C60699,1235.85,1,2024-01-14,2024-01-14,534,True
C61070,951.56,1,2024-07-04,2024-07-04,362,True
C61090,2062.36,1,2024-04-07,2024-04-07,450,True
C61280,1472.22,1,2024-05-24,2024-05-24,403,True
C61384,802.3499999999999,1,2024-04-06,2024-04-06,451,True
C61521,690.02,1,2024-05-12,2024-05-12,415,True
C61618,488.8,1,2024-03-24,2024-03-24,464,True
C61773,981.12,1,2023-10-02,2023-10-02,638,True
C61849,2311.28,1,2024-12-10,2024-12-10,203,True
C62169,184.15,1,2025-04-06,2025-04-06,86,False
C62557,1232.64,1,2023-01-13,2023-01-13,900,True
C62622,562.61,1,2025-03-28,2025-03-28,95,True
C62740,424.4,1,2023-02-27,2023-02-27,855,True
C63018,38.49,1,2025-06-22,2025-06-22,9,False
C63153,2199.04,1,2023-10-03,2023-10-03,637,True
C63378,512.39,1,2024-04-18,2024-04-18,439,True
C64128,284.64,1,2025-02-09,2025-02-09,142,True
C64160,330.98,1,2023-08-28,2023-08-28,673,True
C64502,1600.05,1,2024-07-02,2024-07-02,364,True
C64579,234.37,1,2025-02-07,2025-02-07,144,True
C64935,304.11,1,2024-09-06,2024-09-06,298,True
C65021,809.92,1,2024-05-04,2024-05-04,423,True
C65251,1168.35,1,2024-09-23,2024-09-23,281,True
C65414,595.42,1,2025-04-01,2025-04-01,91,True
C65497,163.32,1,2023-11-18,2023-11-18,591,True
C65565,402.15,1,2024-02-13,2024-02-13,504,True
C65744,582.04,1,2024-07-30,2024-07-30,336,True
C65799,2260.8,1,2024-01-05,2024-01-05,543,True
C65890,1577.85,1,2024-01-08,2024-01-08,540,True
C65905,950.4000000000001,1,2024-01-17,2024-01-17,531,True
C66078,1101.12,1,2023-10-02,2023-10-02,638,True
C66093,2595.64,1,2023-06-28,2023-06-28,734,True
C66438,90.27,1,2024-06-09,2024-06-09,387,True
C66521,1600.28,1,2024-06-13,2024-06-13,383,True
C66567,79.02,1,2024-06-19,2024-06-19,377,True
C66840,2313.08,1,2023-10-15,2023-10-15,625,True
C66906,518.64,1,2024-04-25,2024-04-25,432,True
C67260,3390.8,1,2023-05-02,2023-05-02,791,True
C67528,1185.12,1,2024-11-24,2024-11-24,219,True
C67533,26.95,1,2024-03-20,2024-03-20,468,True
C67561,1660.56,1,2023-03-14,2023-03-14,840,True
C67583,338.31,1,2025-06-10,2025-06-10,21,False
C67687,868.6,1,2023-07-09,2023-07-09,723,True
C67870,1648.8,1,2024-02-08,2024-02-08,509,True
C67932,514.98,1,2024-12-19,2024-12-19,194,True
C68266,1960.89,1,2024-07-26,2024-07-26,340,True
C68508,123.28,1,2024-07-09,2024-07-09,357,True
C68553,742.41,1,2025-03-23,2025-03-23,100,True
C68609,1330.32,1,2024-10-22,2024-10-22,252,True
C68936,1662.75,1,2023-04-14,2023-04-14,809,True
C68976,868.25,1,2025-05-28,2025-05-28,34,False
C69149,1062.98,1,2023-10-14,2023-10-14,626,True
C69396,1808.25,1,2025-03-15,2025-03-15,108,True
C69542,422.54,1,2024-01-23,2024-01-23,525,True
C70148,2647.75,1,2023-07-05,2023-07-05,727,True
C70437,2620.72,1,2023-11-24,2023-11-24,585,True
C70452,1265.28,1,2024-06-29,2024-06-29,367,True
C70613,2323.7,1,2023-01-20,2023-01-20,893,True
C71076,511.98,1,2023-11-14,2023-11-14,595,True
C71471,595.54,1,2024-05-15,2024-05-15,412,True
C71473,1709.2,1,2024-06-05,2024-06-05,391,True
C71486,1407.96,1,2023-08-10,2023-08-10,691,True
C72043,394.53,1,2024-06-04,2024-06-04,392,True
C72293,688.02,1,2023-11-15,2023-11-15,594,True
C72533,376.76,1,2024-12-16,2024-12-16,197,True
C72649,2853.1,1,2023-01-04,2023-01-04,909,True
C72664,627.15,1,2024-09-07,2024-09-07,297,True
C73999,375.76,1,2023-06-04,2023-06-04,758,True
C74359,1841.25,1,2025-06-24,2025-06-24,7,False
C74499,744.46,1,2023-05-18,2023-05-18,775,True
C74866,1994.37,1,2023-02-17,2023-02-17,865,True
C74982,2042.8,1,2023-07-08,2023-07-08,724,True
C75018,2007.18,1,2023-05-31,2023-05-31,762,True
C75456,276.66,1,2024-06-23,2024-06-23,373,True
C75619,742.58,1,2023-10-07,2023-10-07,633,True
C75739,302.7,1,2024-08-23,2024-08-23,312,True
C76362,709.5,1,2024-01-01,2024-01-01,547,True
C76653,1539.4,1,2023-03-09,2023-03-09,845,True
C76700,623.82,1,2025-03-10,2025-03-10,113,True
C76766,2512.48,1,2024-07-16,2024-07-16,350,True
C76929,356.81,1,2023-10-13,2023-10-13,627,True
C77357,474.6,1,2025-02-22,2025-02-22,129,True
C77499,547.4399999999999,1,2023-07-08,2023-07-08,724,True
C78500,2512.35,1,2024-12-20,2024-12-20,193,True
C78684,1765.32,1,2024-05-20,2024-05-20,407,True
C78724,1266.39,1,2023-04-15,2023-04-15,808,True
C78725,1880.36,1,2025-06-01,2025-06-01,30,False
C79142,569.96,1,2023-04-06,2023-04-06,817,True
C79508,135.17,1,2024-06-08,2024-06-08,388,True
C79674,873.68,1,2023-07-13,2023-07-13,719,True
C79722,1382.2,1,2023-08-20,2023-08-20,681,True
C79909,137.62,1,2023-08-04,2023-08-04,697,True
C80416,1087.15,1,2024-04-09,2024-04-09,448,True
C80651,1194.51,1,2023-09-26,2023-09-26,644,True
C80987,132.05,1,2025-03-07,2025-03-07,116,True
C81074,157.72,1,2024-02-22,2024-02-22,495,True
C81370,2532.25,1,2024-12-26,2024-12-26,187,True
C81726,2161.36,1,2023-06-23,2023-06-23,739,True
C81840,2504.04,1,2025-05-08,2025-05-08,54,False
C82068,408.13,1,2023-01-23,2023-01-23,890,True
C82217,1717.48,1,2024-10-03,2024-10-03,271,True
C82318,528.06,1,2024-02-25,2024-02-25,492,True
C82344,2028.63,1,2024-11-10,2024-11-10,233,True
C82685,475.98,1,2023-05-13,2023-05-13,780,True
C82921,208.36,1,2024-10-04,2024-10-04,270,True
C83026,1686.9,1,2023-04-09,2023-04-09,814,True
C83653,925.04,1,2023-05-02,2023-05-02,791,True
C84041,1001.6,1,2025-02-10,2025-02-10,141,True
C84134,2772.28,1,2025-03-23,2025-03-23,100,True
C84320,208.95,1,2023-10-14,2023-10-14,626,True
C84480,2342.55,1,2025-04-17,2025-04-17,75,False
C84700,1599.85,1,2023-01-11,2023-01-11,902,True
C84766,688.04,1,2023-08-20,2023-08-20,681,True
C85059,987.4,1,2023-04-28,2023-04-28,795,True
C85074,934.8,1,2025-03-12,2025-03-12,111,True
C85421,1641.45,1,2024-10-07,2024-10-07,267,True
C85466,441.87,1,2024-10-18,2024-10-18,256,True
C85863,397.4399999999999,1,2024-02-24,2024-02-24,493,True
C85929,440.73,1,2024-03-02,2024-03-02,486,True
C86064,834.1200000000001,1,2023-07-06,2023-07-06,726,True
C86266,1618.32,1,2024-07-24,2024-07-24,342,True
C86408,84.28,1,2023-02-17,2023-02-17,865,True
C86524,732.46,1,2023-11-15,2023-11-15,594,True
C86762,2043.65,1,2024-10-18,2024-10-18,256,True
C87448,450.07,1,2023-06-07,2023-06-07,755,True
C87547,380.12,1,2025-01-16,2025-01-16,166,True
C87764,206.82,1,2024-02-26,2024-02-26,491,True
C87777,816.64,1,2024-10-08,2024-10-08,266,True
C87994,2392.76,1,2023-10-05,2023-10-05,635,True
C87995,1925.92,1,2024-09-03,2024-09-03,301,True
C88029,3277.75,1,2025-06-14,2025-06-14,17,False
C88075,2651.7,1,2024-03-11,2024-03-11,477,True
C88371,1132.64,1,2024-12-25,2024-12-25,188,True
C88645,1751.16,1,2024-03-14,2024-03-14,474,True
C88933,92.04,1,2023-01-07,2023-01-07,906,True
C88981,2445.04,1,2023-02-03,2023-02-03,879,True
C89559,662.84,1,2023-04-08,2023-04-08,815,True
C89592,2547.9,1,2023-10-18,2023-10-18,622,True
C89674,1151.66,1,2025-01-18,2025-01-18,164,True
C89979,3170.0,1,2024-06-20,2024-06-20,376,True
C90110,418.36,1,2025-06-21,2025-06-21,10,False
C90132,1304.65,1,2023-06-21,2023-06-21,741,True
C90292,1105.28,1,2023-04-24,2023-04-24,799,True
C90310,762.56,1,2024-12-11,2024-12-11,202,True
C90348,899.0,1,2024-03-26,2024-03-26,462,True
C90595,391.45,1,2025-03-14,2025-03-14,109,True
C91099,1025.3,1,2024-11-06,2024-11-06,237,True
C91103,1023.44,1,2023-06-17,2023-06-17,745,True
C91155,146.32,1,2024-09-08,2024-09-08,296,True
C91245,675.33,1,2024-10-10,2024-10-10,264,True
C91255,851.1,1,2024-04-15,2024-04-15,442,True
C92049,2666.08,1,2023-10-02,2023-10-02,638,True
C92086,749.2,1,2025-02-07,2025-02-07,144,True
C92180,977.8,1,2023-10-31,2023-10-31,609,True
C92294,1225.4,1,2024-09-29,2024-09-29,275,True
C92407,1672.23,1,2023-07-01,2023-07-01,731,True
C92575,2464.7,1,2024-09-30,2024-09-30,274,True
C92788,243.71,1,2024-07-20,2024-07-20,346,True
C93007,465.66,1,2024-06-01,2024-06-01,395,True
C93276,1652.25,1,2023-03-19,2023-03-19,835,True
C93821,1075.44,1,2024-12-05,2024-12-05,208,True
C93948,336.87,1,2024-10-24,2024-10-24,250,True
C94037,510.28,1,2025-06-24,2025-06-24,7,False
C94248,64.66,1,2025-02-15,2025-02-15,136,True
C94479,314.05,1,2023-06-26,2023-06-26,736,True
C94568,1939.4,1,2023-04-23,2023-04-23,800,True
C94569,487.21,1,2024-03-23,2024-03-23,465,True
C94595,247.64,1,2023-12-16,2023-12-16,563,True
C94658,886.44,1,2024-09-19,2024-09-19,285,True
C94671,167.15,1,2024-09-23,2024-09-23,281,True
C94698,586.62,1,2024-06-03,2024-06-03,393,True
C95100,627.2,1,2024-02-28,2024-02-28,489,True
C95568,973.4100000000001,1,2023-07-31,2023-07-31,701,True
C95643,2426.28,1,2023-06-09,2023-06-09,753,True
C95856,1279.76,1,2023-05-25,2023-05-25,768,True
C95901,1993.38,1,2024-03-24,2024-03-24,464,True
C96034,121.08,1,2023-06-03,2023-06-03,759,True
C96257,1803.0,1,2023-03-28,2023-03-28,826,True
C96261,970.74,1,2025-06-04,2025-06-04,27,False
C96434,2536.2,1,2025-05-31,2025-05-31,31,False
C96583,139.36,1,2024-09-22,2024-09-22,282,True
C96664,769.3799999999999,1,2025-02-27,2025-02-27,124,True
C96695,564.86,1,2025-02-02,2025-02-02,149,True
C96787,1066.04,1,2024-04-15,2024-04-15,442,True
C96822,989.56,1,2023-01-31,2023-01-31,882,True
C97187,670.54,1,2023-07-02,2023-07-02,730,True
C97454,698.8,1,2024-01-26,2024-01-26,522,True
C97485,915.64,1,2023-10-29,2023-10-29,611,True
C97593,472.74,1,2024-02-22,2024-02-22,495,True
C97603,2373.08,1,2024-09-11,2024-09-11,293,True
C97681,2166.3,1,2025-06-07,2025-06-07,24,False
C97715,727.82,1,2025-03-15,2025-03-15,108,True
C97735,408.5,1,2023-12-30,2023-12-30,549,True
C98216,2463.75,1,2023-03-15,2023-03-15,839,True
C98278,1241.49,1,2024-05-31,2024-05-31,396,True
C98317,2786.84,1,2024-12-16,2024-12-16,197,True
C98474,1388.68,1,2024-06-03,2024-06-03,393,True
C98761,1994.04,1,2023-10-27,2023-10-27,613,True
C99023,1371.8,1,2024-11-17,2024-11-17,226,True
C99024,684.65,1,2024-11-24,2024-11-24,219,True
C99116,2746.44,1,2023-05-08,2023-05-08,785,True
C99173,1070.52,1,2025-01-21,2025-01-21,161,True
C99214,97.85999999999999,1,2025-06-22,2025-06-22,9,False
C99217,1435.65,1,2023-12-01,2023-12-01,578,True
C99683,1663.2,1,2025-01-23,2025-01-23,159,True
